unalterability	alterability	
sadness	happiness	
reliability	unreliability	
thickness	thinness	
negativeness	positiveness	
trustworthiness	untrustworthiness	
unhealthfulness	healthfulness	
tonality	atonality	
cooking_apple	eating_apple	
popularity	unpopularity	
skillfulness	unskillfulness	
decisiveness	indecisiveness	
preciseness	impreciseness	
anastalsis	peristalsis	
heir_apparent	heir_presumptive	
monophonic_music	polyphonic_music	
decency	indecency	
impreciseness	preciseness	
unvariedness	variedness	
unrestraint	restraint	
acidity	alkalinity	
unusualness	usualness	
submersible	surface_ship	
literacy	illiteracy	
alternating_current	direct_current	
heedfulness	heedlessness	
even-toed_ungulate	odd-toed_ungulate	
hypocapnia	hypercapnia	
antitype	type	
holism	atomism	
multiculturalism	nationalism	
demerit	merit	
inutility	utility	
worthlessness	worth	
worthiness	unworthiness	
credit	cash	debit	
unappetizingness	appetizingness	
adult	juvenile	
pride	humility	
informality	formality	
minority	majority	
indispensability	dispensability	
dissimilarity	similarity	
unclearness	clearness	
devolution	evolution	
rightfulness	wrongfulness	
pleurocarp	acrocarp	
agonist	antagonist	
contraindication	indication	
inadmissibility	admissibility	
tribalisation	detribalisation	
consciousness	unconsciousness	
malleability	unmalleability	
malignity	benignity	
hyperopia	myopia	
widening	narrowing	
psychotic_depression	neurotic_depression	
non-involvement	involvement	
advance	retreat	
self-pollination	cross-pollination	
tidiness	untidiness	
illegitimacy	legitimacy	
suitableness	unsuitableness	
judgment_in_personam	judgment_in_rem	
equivocalness	unequivocalness	
general	specific	particular	
workday	rest_day	
splitter	lumper	
biodegradable_pollution	nonbiodegradable_pollution	
majority	minority	
acceptability	unacceptability	
irreverence	reverence	
day	night	
discipline	indiscipline	
unsatisfactoriness	satisfactoriness	
smallness	largeness	
stranger	acquaintance	
incurability	curability	
acquaintance	stranger	
hypernatremia	hyponatremia	
syncategoreme	categoreme	
conceit	humility	
decrease	increase	
dissonance	harmony	
Phanerogamae	Cryptogamia	
synchronism	asynchronism	
obtrusiveness	unobtrusiveness	
freshness	staleness	
awkwardness	gracefulness	
high_sea	territorial_waters	
inwardness	outwardness	
petit_larceny	grand_larceny	
certainty	uncertainty	
deflationary_spiral	inflationary_spiral	
dissimilitude	similitude	
nonuniformity	uniformity	
complexity	simplicity	
fitness	unfitness	
wariness	unwariness	
legibility	illegibility	
dullness	sharpness	brightness	
sociability	unsociability	
insensitiveness	sensitiveness	
acquittal	conviction	
node	antinode	
infiniteness	finiteness	
movability	immovability	
terseness	verboseness	
propriety	impropriety	
illicitness	licitness	
elation	depression	
littleness	bigness	
unbelief	belief	
narrowing	widening	
high_quality	low_quality	
unfairness	fairness	
softball	hardball	
consequence	inconsequence	
disappearance	appearance	
abnormality	normality	
ordinariness	extraordinariness	
soft-finned_fish	spiny-finned_fish	
becomingness	unbecomingness	
unwariness	wariness	
mental_health	mental_illness	
nearness	farness	
nonabsorbency	absorbency	
unpalatability	palatability	
genuineness	spuriousness	
unintelligibility	intelligibility	
passive_voice	active_voice	
masochist	sadist	
urban_area	rural_area	
activeness	inactiveness	
specialist	generalist	
here	there	
detribalization	tribalization	
unstratified_language	stratified_language	
centralization	decentralization	
beauty	ugliness	
fidelity	infidelity	
circumstantial_evidence	direct_evidence	
safeness	dangerousness	
wealth	poverty	
anteriority	posteriority	
hyperpnea	hypopnea	
naturalness	unnaturalness	
pro	con	
modesty	immodesty	
connectedness	unconnectedness	disconnectedness	
ease	difficulty	
mobility	immobility	
disagreement	agreement	
inactiveness	activeness	
myopia	hyperopia	
listed_security	unlisted_security	
typicality	atypicality	
good_luck	bad_luck	
presentness	futurity	pastness	
powerlessness	powerfulness	power	
stop_consonant	continuant_consonant	
mindfulness	unmindfulness	
superficiality	profundity	
nonsmoker	smoker	
convertibility	inconvertibility	
fruitfulness	fruitlessness	
hollowness	solidity	
atonicity	tonicity	
debit	credit	
captor	liberator	
decrement	increment	
complex_instruction_set_computing	reduced_instruction_set_computing	
uninsurability	insurability	
bad_weather	good_weather	
looseness	fixedness	tightness	
prokaryote	eukaryote	
shallowness	deepness	
international_waters	territorial_waters	
immotility	motility	
decompression	compression	
dispensableness	indispensableness	
holiness	unholiness	
day_school	night_school	boarding_school	
straight_ticket	split_ticket	
proliferation	non-proliferation	nonproliferation	
prescriptive_linguistics	descriptive_linguistics	
defeat	victory	
demobilization	mobilization	
tributary	distributary	
acuteness	obtuseness	
godliness	ungodliness	
low_tide	high_tide	
parasite	host	
good_egg	bad_egg	
expensiveness	inexpensiveness	
farness	nearness	
demonetization	monetization	
woman	man	
order	disorder	
pessimism	optimism	
pessimist	optimist	
high	low_spirits	low	
nephew	niece	
mobilization	demobilization	
away_game	home_game	
rightness	wrongness	
descent	ascent	
incorrectness	correctness	
saltwater	fresh_water	
reality	unreality	
positive_charge	negative_charge	
similitude	dissimilitude	
professional	amateur	
irresponsibility	responsibility	
environmentalism	hereditarianism	
aphelion	perihelion	
lender	borrower	
dilution	concentration	
unreliability	reliability	
equivalence	nonequivalence	
perihelion	aphelion	
uptime	downtime	
natural_language	artificial_language	
affirmative	negative	
familiarity	unfamiliarity	
incompatibility	compatibility	
clearness	unclearness	
waxing	waning	
indecorousness	decorousness	
uncommunicativeness	communicativeness	
infeasibility	feasibility	
dissatisfaction	satisfaction	
nonbiodegradable_pollution	biodegradable_pollution	
nay	yea	
polysemy	monosemy	
permissiveness	unpermissiveness	
penalty	reward	
heir_presumptive	heir_apparent	
female_parent	male_parent	
persuasion	dissuasion	
winner	loser	
employer	employee	
employee	employer	
perigee	apogee	
wellness	illness	unwellness	
illiteracy	literacy	
imbalance	balance	
pleasure_principle	reality_principle	
disorderliness	orderliness	
hypotonus	hypertonus	
outgo	income	
receptor	effector	
utility	inutility	
curability	incurability	
practicability	impracticability	
incaution	caution	
unattractiveness	attractiveness	
convenience	inconvenience	
roundness	angularity	
particularity	generality	
apogee	perigee	
hypervolemia	hypovolemia	
crookedness	straightness	
