fawn	dun.n.02	fawn.n.02	
feldspar	feldspar.n.01	
mind_reader	telepathist.n.01	mind_reader.n.02	
good-humoredness	good-temperedness.n.01	
navigational_instrument	navigational_instrument.n.01	
woofer	woofer.n.01	
genus_Maclura	maclura.n.01	
aiglet	aglet.n.01	aglet.n.02	
snow_eater	chinook.n.01	
McGuffey	mcguffey.n.01	
needer	wanter.n.01	
information_superhighway	superhighway.n.02	
Sunda_Islands	sunda_islands.n.01	
Mandean	mandaean.n.02	mandaean.n.01	
grossness	coarseness.n.04	
pine_vole	pine_vole.n.01	
fuzziness	indistinctness.n.01	
genesis	genesis.n.01	genesis.n.02	
Bethlehem-Judah	bethlehem.n.02	
genus_Micropterus	micropterus.n.01	
Hammerstein	hammerstein.n.01	
electrical_outlet	wall_socket.n.01	
lethal_dose	lethal_dose.n.01	
sonic_delay_line	acoustic_delay_line.n.01	
milk-vetch	milk_vetch.n.01	
Hypericum_tetrapterum	st_peter's_wort.n.01	
Berlage	berlage.n.01	
mid-June	mid-june.n.01	
acoustic_nerve	acoustic_nerve.n.01	
immune_serum_globulin	immunoglobulin.n.01	
stub_nail	stub_nail.n.01	
rusty_blackbird	rusty_blackbird.n.01	
withdrawnness	aloofness.n.02	
Cote_d'Ivoire	ivory_coast.n.01	
common_apricot	common_apricot.n.01	
ribbon_worm	ribbon_worm.n.01	
antineoplastic_antibiotic	antineoplastic_antibiotic.n.01	
fleet_ballistic_missile_submarine	fleet_ballistic_missile_submarine.n.01	
flagellate_protozoan	flagellate.n.01	
Caesar's_agaric	royal_agaric.n.01	
friend	friend.n.01	acquaintance.n.03	friend.n.05	supporter.n.01	ally.n.02	
genus_Acropora	acropora.n.01	
sticky_aster	sticky_aster.n.01	
Homyel	homyel.n.01	
nitrate_bacterium	nitrate_bacterium.n.01	
Phytophthora	phytophthora.n.01	
feeling	spirit.n.02	touch.n.10	impression.n.01	feeling.n.01	feeling.n.06	feeling.n.04	
genus_Actitis	actitis.n.01	
race_runner	racerunner.n.01	
majority_operation	majority_operation.n.01	
Prospero_Lambertini	benedict_xiv.n.01	
segmented_worm	annelid.n.01	
miscellanea	assortment.n.01	
cardiovascular_system	circulatory_system.n.01	
St_Martin's_Day	martinmas.n.01	
maleate	maleate.n.01	
lithophyte	lithophyte.n.01	
pleurisy_root	butterfly_weed.n.01	
dental_implant	dental_implant.n.01	
spiff	spiff.n.01	
musk_mallow	musk_mallow.n.02	abelmosk.n.01	
reversible_process	reversible_process.n.01	
cannibal_mound	steak_tartare.n.01	
misapprehension	mistake.n.02	
labor_pains	birth_pangs.n.01	labor_pain.n.01	
affairs	matter.n.01	personal_business.n.01	affair.n.03	affair.n.02	affairs.n.02	
Howard_Hughes	hughes.n.03	
hymen	hymen.n.01	hymen.n.02	
Knight_Templar	knight_templar.n.02	knight_templar.n.01	
Thea	thea.n.01	
family_Homaridae	homaridae.n.01	
Josiah_Willard_Gibbs	gibbs.n.01	
affaire	affair.n.02	
Lakshmi	lakshmi.n.01	
greenback	bill.n.03	
travel_guidebook	travel_guidebook.n.01	
planation	planation.n.01	
buckthorn	buckthorn.n.01	buckthorn.n.02	english_plantain.n.01	
banking_concern	depository_financial_institution.n.01	
Chaldean	chaldean.n.01	chaldean.n.02	
mumification_necrosis	dry_gangrene.n.01	
Siluriformes	siluriformes.n.01	
feathertop_grass	feathertop.n.01	
chumminess	chumminess.n.01	
encomium	encomium.n.01	
toil	labor.n.02	
reverence	fear.n.03	reverence.n.03	reverence.n.02	
genus_Harpia	harpia.n.01	
victualler	victualer.n.01	sutler.n.01	
coffee_mill	coffee_mill.n.01	
Habenaria_orbiculata	round-leaved_rein_orchid.n.01	
Cetorhinidae	cetorhinidae.n.01	
St._Johns	saint_john.n.02	john.n.03	saint_johns.n.01	saint_john.n.03	
Bletilla_striata	bletilla_striata.n.01	
Artemis_pontica	roman_wormwood.n.01	
tech	technical_school.n.01	
prevention	prevention.n.01	
semantic_error	semantic_error.n.01	
Vandyke_brown	vandyke_brown.n.01	
comfort_food	comfort_food.n.01	
safe-deposit_box	safe-deposit.n.01	
using_up	consumption.n.04	
naval_gun	naval_gun.n.01	
Atlantic_croaker	atlantic_croaker.n.01	
braising	braising.n.01	
pawer	pawer.n.01	
memento_mori	memento_mori.n.01	
Helvetica	sans_serif.n.01	
rediscovery	rediscovery.n.01	
suborder_Blattaria	blattodea.n.01	
relative_clause	relative_clause.n.01	
quirk_moulding	quirk_molding.n.01	
Thelypteris_phegopteris	long_beech_fern.n.01	
incorruptibility	incorruptibility.n.01	
penal_colony	penal_colony.n.01	
boxershorts	drawers.n.01	
Tamus_communis	black_bryony.n.01	
turf_war	turf_war.n.01	
popcorn_ball	popcorn_ball.n.01	
Socialist_Republic_of_Vietnam	vietnam.n.01	
excavator	power_shovel.n.01	excavator.n.01	
algorithmic_language	algorithmic_language.n.01	
