72	extortion		가렴주구
72	exaction		가렴주구
72	itchy		가렵다
72	itching		가렵다
72	feel itchy		가렵다
72	itch		가렵다
72	if		가령
72	suppose		가령
72	supposing		가령
72	if		가령
72	granting		가령
72	let us suppose		가령
72	the customary formalities of a family		가례
72	an auspicious ceremony at court		가례
72	the width		가로
72	the breadth		가로
72	across		가로
72	crosswise		가로
72	sideways		가로
72	horizontally		가로
72	a street		가로
72	a road		가로
72	an avenue		가로
72	lie		가로놓이다
72	lie across		가로놓이다
72	lie sideways		가로놓이다
72	stand in the may		가로놓이다
72	lay down		가로누이다
72	place across		가로누이다
72	a sliding window		가로닫이
72	a street light		가로등
72	say		가로되
72	interrupt		가로막다
72	obstruct		가로막다
72	hinder		가로막다
72	bar		가로막다
72	cut off		가로막다
72	be obstructed		가로막히다
72	be blocked		가로막히다
72	be intercepted		가로막히다
72	be interrupted		가로막히다
72	take over		가로맡다
72	take upon oneself		가로맡다
72	assume		가로맡다
72	the roadside		가로변
72	steal out of		가로새다
72	slip out of		가로새다
72	sneak away from		가로새다
72	stand sideways		가로서다
72	stand aside		가로서다
72	stand looking aside		가로서다
72	length and breadth		가로세로
72	vertically and horizontally		가로세로
72	lengthwise and crosswise		가로세로
72	from point to point		가로세로
72	in all directions		가로세로
72	in every direction		가로세로
72	to all points		가로세로
72	writing laterally		가로쓰기
72	writing from left to right		가로쓰기
72	horizontal writing		가로쓰기
72	cross		가로지르다
72	traverse		가로지르다
72	go across		가로지르다
72	intersect		가로지르다
72	snatch		가로차다
72	seize		가로채다
72	snatch		가로채다
72	usurp		가로채다
72	intercept		가로채다
72	steal		가로채다
72	get seized		가로채다
72	be snatched		가로채다
72	spread out		가로퍼지다
72	grow broad		가로퍼지다
72	get pudgy		가로퍼지다
72	a blister beetle		가뢰
72	a meloid		가뢰
72	medical treatment		가료
72	flour		가루
72	meal		가루
72	powder		가루
72	dust		가루
72	divide		가르다
72	share  with		가르다
72	distribute  among		가르다
72	deal out		가르다
72	classify		가르다
72	sort		가르다
72	separate		가르다
72	discriminate between good and bad		가르다
72	tell good from bad		가르다
72	wheeze		가르랑거리다
72	teach		가르치다
72	instruct		가르치다
72	give lessons		가르치다
72	educate		가르치다
72	school		가르치다
72	show		가르치다
72	direct		가르치다
72	a stupid person who is unable to do anything by himself		가르친사위
72	teachings		가르침
72	a lesson		가르침
72	an instruction		가르침
72	a precept		가르침
72	a doctrine		가르침
72	a dogma		가르침
72	cutting		가름
72	dividing		가름
72	classifying		가름
72	distinguishing		가름
72	judging		가름
72	distributing		가름
72	separating		가름
72	the crossbar dividing the upper and lower sections of an abacus		가름대
72	a weir		가리
72	a fish trap a fish pound		가리
72	an ox rib		가리
72	a cut of beef containing a rib		가리
72	a heap		가리
72	a pile		가리
72	a stack		가리
72	a rick		가리
72	accumulation		가리
72	the drift of an affair		가리
72	to pieces		가리가리
72	to shreds		가리가리
72	a twofold screen		가리개
72	fallen pine needles gathered for fuel		가리나무
72	single out		가리다
72	sort out		가리다
72	select		가리다
72	choose		가리다
72	make choice of		가리다
72	prefer		가리다
72	discriminate		가리다
72	tell  from		가리다
72	be particular		가리다
72	comb one's hair		가리다
72	give  a rough combing		가리다
72	be shy of strangers		가리다
72	settle accounts		가리다
72	settle one's accounts		가리다
72	pay a  bill		가리다
72	heap		가리다
72	pile up		가리다
